date,ma2_bottomfish,ma2_halibut,ma2_salmon,razor_long_beach,razor_twin_harbors,razor_copalis,razor_mocrocks,razor_kalaloch,razor_any
2023-05-22,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-23,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-24,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-25,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-26,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-27,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-28,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-29,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-30,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-05-31,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-01,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-02,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-03,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-04,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-05,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-06,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-07,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-08,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-09,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-10,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-11,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-12,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-13,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-14,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-15,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
