"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik_gear[29]",-4.08170427000357,0.00204194490530277,0.14292301580208,-4.39451931612753,-4.16758814693923,-4.06948332241106,-3.9831766664133,-3.8425311241026,4899.09998782305,0.999679771857136
"log_lik_gear[30]",-4.25320896786162,0.00336337980288319,0.309647111826428,-4.9595884560798,-4.4334573796223,-4.2251089462375,-4.03781419844991,-3.7330759922169,8475.83011398873,0.999566852842499
"log_lik_gear[31]",-3.49645202021152,0.00263287146336273,0.167193249063,-3.85638184342366,-3.59868836102678,-3.48310729301852,-3.3785791291002,-3.20974697943062,4032.5351365872,1.00015176603517
"log_lik_gear[32]",-3.55740478919918,0.0040276465709536,0.27095129611319,-4.12453728034672,-3.73023943549922,-3.54440510282103,-3.36395247380951,-3.08250343121505,4525.63743254914,1.00013939651041
"log_lik_gear[33]",-3.99550977690316,0.00225799005783982,0.143432760651257,-4.30409682595956,-4.08376206010923,-3.98548779419917,-3.89587274385364,-3.74144013416671,4035.08478035928,0.999852468116337
"log_lik_gear[34]",-5.8175071351334,0.00955699005580174,0.653131264952202,-7.49579592913028,-6.12111494447015,-5.66002660797818,-5.36309790276974,-4.97997755759749,4670.44948370762,0.999817313801581
"log_lik_gear[35]",-3.83411620489282,0.00513898574563845,0.37514595143667,-4.61716284077061,-4.0717797040759,-3.81735603105409,-3.57473192521082,-3.14691942257469,5328.99977286164,1.00002385723468
"log_lik_gear[36]",-3.4873182181885,0.00284773460056561,0.181356719499278,-3.87451171121814,-3.59981088201335,-3.47073578989336,-3.3587811988191,-3.17990988456935,4055.72293485413,1.00016890243972
"log_lik_gear[37]",-3.69882971281402,0.00194031564976767,0.131324662592254,-3.98817998637479,-3.77352576592911,-3.68720402809125,-3.61224569831516,-3.47979242315382,4580.86838728662,0.999807896104219
"log_lik_gear[38]",-4.0506605259089,0.00195768286069845,0.132279522410895,-4.32970236664294,-4.1354526345625,-4.04408377682473,-3.96033183966426,-3.81684944606445,4565.62838084521,0.999786864587562
"log_lik_gear[39]",-3.96961682524608,0.00367348288239535,0.243307077670047,-4.48671737535796,-4.11978062147929,-3.95863170731342,-3.79511919722407,-3.53428931309496,4386.85665948313,0.999776219452349
"log_lik_gear[40]",-3.70377883985374,0.00178214811349535,0.133747367479611,-4.00542567035012,-3.77992172543462,-3.68950757476109,-3.6144214545836,-3.48301126021737,5632.26259512337,0.999636159345203
"log_lik_gear[41]",-4.88804802332726,0.00756773398182013,0.50811992878267,-6.20308808797758,-5.12635079126269,-4.76288839505919,-4.52254781612799,-4.25679180574305,4508.17474860375,0.999960731293254
