"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik_catch[42]",-0.985710375445558,0.000775578386413441,0.064388727495654,-1.11569579490339,-1.02772548895806,-0.984707593787808,-0.94219761655346,-0.864155238938687,6892.36532709298,0.999863603550797
"log_lik_catch[43]",-0.985710375445558,0.000775578386413441,0.064388727495654,-1.11569579490339,-1.02772548895806,-0.984707593787808,-0.94219761655346,-0.864155238938687,6892.36532709298,0.999863603550797
"log_lik_catch[44]",-2.34375969729959,0.00107338067059504,0.0897120010058475,-2.53622213126037,-2.40157500550814,-2.33918052068622,-2.28137753481821,-2.18211659574116,6985.43646148655,0.999948004531404
"log_lik_catch[45]",-2.69661086973781,0.000807071938929204,0.0699129698088539,-2.84515012033105,-2.74103454347531,-2.69351896053712,-2.64931372079597,-2.56688506056033,7503.96856982921,0.999955608805557
"log_lik_catch[46]",-2.88714177239913,0.000632537055529675,0.0542402845236122,-2.99403540859154,-2.92364560836161,-2.88563106124701,-2.8507816929182,-2.78054816952477,7353.12540561621,1.00071957879458
"log_lik_catch[47]",-2.62566194905473,0.00103898156558883,0.0858188599312817,-2.80505617562223,-2.67985413407595,-2.62085890004656,-2.5654456694344,-2.47156810460113,6822.59823463742,1.00033086968254
"log_lik_catch[48]",-0.985710375445558,0.000775578386413441,0.064388727495654,-1.11569579490339,-1.02772548895806,-0.984707593787808,-0.94219761655346,-0.864155238938687,6892.36532709298,0.999863603550797
"log_lik_catch[49]",-4.53751659859434,0.00291016018467178,0.244099921158473,-5.03608172460357,-4.69601000000469,-4.52862383733157,-4.37324935159318,-4.08153530670402,7035.60565076771,1.00027562118316
"log_lik_catch[50]",-3.02022630841877,0.00145006514675641,0.119865155649907,-3.27149112649338,-3.09571376205761,-3.01373440077041,-2.93848873688532,-2.80073828721966,6832.99147824275,1.00026376009483
"log_lik_catch[51]",-3.4492350386795,0.00171719813568943,0.141816519761316,-3.74596004141356,-3.53811674409707,-3.44066008237919,-3.35261053862316,-3.19206483938776,6820.44686959483,1.00029121229292
"log_lik_catch[52]",-1.949066369083,0.00158027797196752,0.13267935401132,-2.22203991156225,-2.03445649034359,-1.94351447958153,-1.85835025807492,-1.70570946814736,7049.19823784225,0.999504255546609
"log_lik_catch[53]",-2.32844117118783,0.00100125033051789,0.0830061218265951,-2.49987027207072,-2.38183200243649,-2.32531585192165,-2.27171173083222,-2.17653129829044,6872.81892573867,1.00021050335953
