"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lambda_Ctot_S[1,70,1]",15.8401243571024,0.363433547703604,26.1394565103504,1.58209445423465,5.04680752769149,9.22449161912466,17.7789228149173,70.5006232983627,5173.00716538399,0.999998218861083
"lambda_Ctot_S[1,71,1]",4.45608007632593,0.0711931758645341,5.46662873245368,0.695735417151368,1.87103156592932,3.18964174339068,5.34030881576259,15.7590871066688,5896.06721212887,1.00006793333244
"lambda_Ctot_S[1,72,1]",4.44407513727454,0.0695179646395166,5.15709549915967,0.700525930830802,1.867504686445,3.16902056816356,5.37069087429336,15.9341237837895,5503.21209536267,1.00000951521733
"lambda_Ctot_S[1,73,1]",4.46236631529759,0.0711361156445465,5.41000616061946,0.700427123382395,1.88771851867295,3.15405424241306,5.33508231542736,15.8466179862295,5783.82608009859,0.999992929209969
"lambda_Ctot_S[1,74,1]",4.43825031266858,0.0714388876969884,5.49909668267139,0.693725237672175,1.87124314942459,3.14917526686785,5.37101640980742,15.3625686556538,5925.34091676703,0.999861354353508
"lambda_Ctot_S[1,75,1]",42.3113637341182,2.61441412131313,168.817938360089,0.324767234191173,3.11517734502507,9.73073492623216,28.7330062597165,274.555610919879,4169.5426761334,1.00070256568946
"lambda_Ctot_S[1,76,1]",15.9133407797428,0.379808835051954,27.5596723296491,1.59806800562192,5.107699709348,9.19496862562675,17.54626151472,70.1250090315751,5265.2375931198,0.999970394982708
"C_expected[1,1,1]",21.4060185132906,0.705953848129197,46.5799871882992,2.45822446394727,8.76955037085724,15.37127477549,25.7020588446757,68.6729633402241,4353.57579354543,1.00020329247569
"C_expected[1,2,1]",21.3840768800935,0.779903726957534,50.8198390731315,2.4475201111057,8.81615423941122,15.2680334758636,25.7281974062998,69.1209579138846,4246.04487233971,1.00016425875711
"C_expected[1,3,1]",22.1323596298683,0.612682792675629,41.5201141988212,2.51930124667214,9.19340264280765,16.099249353325,26.7937911757171,71.4781539253778,4592.46348818852,1.00004058747896
"C_expected[1,4,1]",21.2579622386797,0.605011234696903,41.1508919761555,2.44013078198002,8.76077137223438,15.4017713971265,26.0525772660079,68.2737542767076,4626.27694916448,0.999986769432393
"C_expected[1,5,1]",21.2141821094356,0.761871703823127,50.1998281996411,2.437666552541,8.74419374430446,15.3475745905767,25.3018145065468,67.6628649922635,4341.5096796514,1.00020137488
"C_expected[1,6,1]",67.4132830738676,1.70052079156206,115.633556734052,8.42548470736308,26.462903382676,46.1290595877771,79.1059401878067,245.39679813179,4623.85147931857,1.00027918763805
